Component,Name,Usage_Percent,Threshold,Status,Details
"CPU","Overall CPU","61%","<85 OK | 85-90 WARN | >90 CRIT","OK","Idle=39%"
"Memory","Physical Memory","20%","<85 OK | 85-90 WARN | >90 CRIT","OK","Used=3.1G Total=15.4G"
"Filesystem","efivarfs (/sys/firmware/efi/efivars)","1%","<80 OK | 80-90 WARN | >90 CRIT","OK","Size=1G Used=1G Avail=1G"
"Filesystem","/dev/mapper/rootvg-rootlv (/)","39%","<80 OK | 80-90 WARN | >90 CRIT","OK","Size=12G Used=5G Avail=8G"
"Filesystem","/dev/mapper/rootvg-usrlv (/usr)","33%","<80 OK | 80-90 WARN | >90 CRIT","OK","Size=10G Used=4G Avail=7G"
"Filesystem","/dev/mapper/rootvg-homelv (/home)","5%","<80 OK | 80-90 WARN | >90 CRIT","OK","Size=1G Used=1G Avail=1G"
"Filesystem","/dev/nvme0n1p2 (/boot)","77%","<80 OK | 80-90 WARN | >90 CRIT","OK","Size=1G Used=1G Avail=1G"
"Filesystem","/dev/mapper/rootvg-tmplv (/tmp)","3%","<80 OK | 80-90 WARN | >90 CRIT","OK","Size=2G Used=1G Avail=2G"
"Filesystem","/dev/mapper/rootvg-varlv (/var)","68%","<80 OK | 80-90 WARN | >90 CRIT","OK","Size=8G Used=6G Avail=3G"
"Filesystem","/dev/nvme0n1p1 (/boot/efi)","4%","<80 OK | 80-90 WARN | >90 CRIT","OK","Size=1G Used=1G Avail=1G"
"Server","afs-vm-eastus-elastic-az2-logst-p02","-","-","WARN","Overall Server Health"
